Part_Category_Needed,City,Current_SOH,Daily_Demand_Rate,MSL,Required
Motor,Hyderabad,10,0.734,16,6
Thermostat,Bengaluru,40,1.476,32,0
Relay,Bengaluru,14,0.37,8,0
Membrane,Mumbai,6,2.957,63,57
Heating Element,Chennai,37,1.108,24,0
Anode Rod,Mumbai,2,0.611,13,11
Belt,Ahmedabad,14,0.718,16,2
Compressor,Ahmedabad,34,1.889,40,6
Anode Rod,Ahmedabad,9,0.296,7,0
Filter,Chennai,5,0.456,10,5
Motor,Chennai,19,0.558,12,0
Pump,Chennai,11,0.639,14,3
Pump,Ahmedabad,5,0.57,12,7
Door Seal,Bengaluru,18,0.511,11,0
Drain Pump,Mumbai,31,0.867,19,0
Fan,Delhi,13,0.624,14,1
Belt,Delhi,22,1.076,23,1
Inlet Valve,Chennai,17,0.592,13,0
Heating Element,Bengaluru,38,1.564,33,0
Fuse,Ahmedabad,19,1.202,26,7
Fan Motor,Delhi,30,0.857,18,0
Gas,Kolkata,9,0.211,5,0
Door Switch,Hyderabad,23,0.765,17,0
Drain Pump,Ahmedabad,0,0.505,11,11
Sediment Filter,Hyderabad,15,0.937,20,5
Fuse,Kolkata,16,0.875,19,3
Gas,Bengaluru,15,0.35,8,0
Heating Element,Delhi,77,2.177,46,0
Fan Motor,Chennai,11,0.487,11,0
Inlet Valve,Kolkata,15,0.554,12,0
Inlet Valve,Delhi,24,1.148,25,1
Fan,Ahmedabad,1,0.38,8,7
Belt,Bengaluru,7,0.976,21,14
PCB,Mumbai,130,6.623,140,10
PRV Valve,Hyderabad,7,0.941,20,13
Turntable Motor,Bengaluru,10,0.883,19,9
Door Switch,Bengaluru,0,0.887,19,19
Door Switch,Chennai,10,0.629,14,4
Sediment Filter,Delhi,32,1.646,35,3
Compressor,Kolkata,36,1.537,33,0
Turntable Motor,Hyderabad,20,0.757,16,0
PRV Valve,Kolkata,11,0.637,14,3
Relay,Ahmedabad,5,0.313,7,2
Gas,Delhi,12,0.496,11,0
Fan Motor,Ahmedabad,11,0.431,10,0
Sediment Filter,Ahmedabad,20,0.734,16,0
Door Switch,Delhi,0,1.186,25,25
Relay,Kolkata,3,0.245,6,3
Door Seal,Kolkata,14,0.38,8,0
Membrane,Hyderabad,7,1.585,34,27
Gas,Mumbai,5,0.551,12,7
Drain Pump,Delhi,23,0.804,17,0
Thermostat,Chennai,32,1.207,26,0
